statistic,Total arrests,Total arrests,Total arrests,Total arrests,Total arrests,Total arrests,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Percent Distribution,Total arrests,Total arrests,Total arrests,Percent Distribution,Percent Distribution,Percent Distribution
axis,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Race,Ethnicity,Ethnicity,Ethnicity,Ethnicity,Ethnicity,Ethnicity
category,Total,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Total,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Total,Hispanic or Latino,Not Hispanic or Latino,Total,Hispanic or Latino,Not Hispanic or Latino
Offense Charged,,,,,,,,,,,,,,,,,,
TOTAL,6816975,4729290,1815144,164852,86733,20956,100,69.4,26.6,2.4,1.3,0.3,5896059,1126806,4769253,100,19.1,80.9
Murder and nonnegligent manslaughter,7964,3650,4078,125,83,28,100,45.8,51.2,1.6,1,0.4,6474,1341,5133,100,20.7,79.3
Rape3,16599,11588,4427,249,276,59,100,69.8,26.7,1.5,1.7,0.4,14172,3948,10224,100,27.9,72.1
Robbery,56305,25143,29677,635,568,282,100,44.7,52.7,1.1,1,0.5,50705,12002,38703,100,23.7,76.3
Aggravated assault,274376,169467,91164,7192,4902,1651,100,61.8,33.2,2.6,1.8,0.6,243279,62421,180858,100,25.7,74.3
Burglary,118843,81104,34188,1728,1464,359,100,68.2,28.8,1.5,1.2,0.3,105558,21981,83577,100,20.8,79.2
Larceny-theft,592679,393226,178937,11718,7133,1665,100,66.3,30.2,2,1.2,0.3,502776,74227,428549,100,14.8,85.2
Motor vehicle theft,57278,38719,16409,1213,721,216,100,67.6,28.6,2.1,1.3,0.4,50482,12720,37762,100,25.2,74.8
Arson,6291,4453,1553,121,125,39,100,70.8,24.7,1.9,2,0.6,5460,1022,4438,100,18.7,81.3
Violent crime4,355244,209848,129346,8201,5829,2020,100,59.1,36.4,2.3,1.6,0.6,314630,79712,234918,100,25.3,74.7
Property crime4,775091,517502,231087,14780,9443,2279,100,66.8,29.8,1.9,1.2,0.3,664276,109950,554326,100,16.6,83.4
Other assaults,703534,455901,219400,16037,9907,2289,100,64.8,31.2,2.3,1.4,0.3,608510,115069,493441,100,18.9,81.1
Forgery and counterfeiting,32100,21537,9668,338,501,56,100,67.1,30.1,1.1,1.6,0.2,28277,4786,23491,100,16.9,83.1
Fraud,78698,51861,24041,1424,1208,164,100,65.9,30.5,1.8,1.5,0.2,68160,9984,58176,100,14.6,85.4
Embezzlement,9886,5983,3587,114,179,23,100,60.5,36.3,1.2,1.8,0.2,8271,1099,7172,100,13.3,86.7
"Stolen property; buying, receiving, possessing",63035,38751,21998,1108,825,353,100,61.5,34.9,1.8,1.3,0.6,54930,10331,44599,100,18.8,81.2
Vandalism,126161,86360,34670,3198,1598,335,100,68.5,27.5,2.5,1.3,0.3,109856,21333,88523,100,19.4,80.6
"Weapons; carrying, possessing, etc.",108847,60494,45530,1129,1247,447,100,55.6,41.8,1,1.1,0.4,92892,22081,70811,100,23.8,76.2
Prostitution and commercialized vice,19811,10074,8370,73,1205,89,100,50.9,42.2,0.4,6.1,0.4,18191,3506,14685,100,19.3,80.7
Sex offenses (except rape and prostitution),28627,21360,5903,596,668,100,100,74.6,20.6,2.1,2.3,0.3,25184,7023,18161,100,27.9,72.1
Drug abuse violations,1052101,748874,274670,14098,11857,2602,100,71.2,26.1,1.3,1.1,0.2,946784,194654,752130,100,20.6,79.4
Gambling,1895,1081,553,13,214,34,100,57,29.2,0.7,11.3,1.8,1682,434,1248,100,25.8,74.2
Offenses against the family and children,58042,38196,16454,2821,493,78,100,65.8,28.3,4.9,0.8,0.1,49402,6443,42959,100,13,87
Driving under the influence,646607,526928,90888,12373,13071,3347,100,81.5,14.1,1.9,2,0.5,549292,145127,404165,100,26.4,73.6
Liquor laws,109887,85350,17077,5657,1651,152,100,77.7,15.5,5.1,1.5,0.1,90033,14802,75231,100,16.4,83.6
Drunkenness,218095,164797,32255,18238,2431,374,100,75.6,14.8,8.4,1.1,0.2,206492,46634,159858,100,22.6,77.4
Disorderly conduct,208690,132676,64049,9811,1820,334,100,63.6,30.7,4.7,0.9,0.2,164645,22897,141748,100,13.9,86.1
Vagrancy,15952,10763,4497,473,201,18,100,67.5,28.2,3,1.3,0.1,14779,2109,12670,100,14.3,85.7
All other offenses (except traffic),2192791,1532998,577689,54049,22248,5807,100,69.9,26.3,2.5,1,0.3,1870588,306544,1564044,100,16.4,83.6
Suspicion,1316,1008,257,49,2,0,100,76.6,19.5,3.7,0.2,0,410,37,373,100,9,91
Curfew and loitering law violations,10565,6948,3155,272,135,55,100,65.8,29.9,2.6,1.3,0.5,8775,2251,6524,100,25.7,74.3
