,date,AA,GE,IBM,MSFT
0,1990-02-01 00:00:00,4.98,2.87,16.79,0.51
1,1990-02-02 00:00:00,5.04,2.87,16.89,0.51
2,1990-02-05 00:00:00,5.07,2.87,17.32,0.51
3,1990-02-06 00:00:00,5.01,2.88,17.56,0.51
4,1990-02-07 00:00:00,5.04,2.91,17.93,0.51
5,1990-02-08 00:00:00,5.04,2.92,17.86,0.51
6,1990-02-09 00:00:00,5.06,2.94,17.82,0.52
7,1990-02-12 00:00:00,4.96,2.89,17.58,0.52
8,1990-02-13 00:00:00,4.91,2.88,17.95,0.52
9,1990-02-14 00:00:00,4.94,2.89,18.04,0.52
10,1990-02-15 00:00:00,4.99,2.91,18.04,0.53
11,1990-02-16 00:00:00,5.1,2.88,17.99,0.53
12,1990-02-20 00:00:00,5.04,2.83,17.88,0.55
13,1990-02-21 00:00:00,5.01,2.81,18.23,0.52
14,1990-02-22 00:00:00,5.06,2.82,17.95,0.53
15,1990-02-23 00:00:00,5.07,2.81,17.84,0.53
16,1990-02-26 00:00:00,5.13,2.84,18.08,0.54
17,1990-02-27 00:00:00,5.16,2.88,18.04,0.53
18,1990-02-28 00:00:00,5.22,2.89,18.06,0.54
19,1990-03-01 00:00:00,5.26,2.88,18.08,0.55
20,1990-03-02 00:00:00,5.41,2.92,18.23,0.57
21,1990-03-05 00:00:00,5.39,2.89,18.25,0.57
22,1990-03-06 00:00:00,5.4,2.92,18.39,0.57
23,1990-03-07 00:00:00,5.36,2.93,18.34,0.56
24,1990-03-08 00:00:00,5.34,2.95,18.6,0.58
25,1990-03-09 00:00:00,5.33,2.93,18.52,0.58
26,1990-03-12 00:00:00,5.34,2.92,18.73,0.59
27,1990-03-13 00:00:00,5.29,2.9,18.47,0.58
28,1990-03-14 00:00:00,5.28,2.95,18.47,0.59
29,1990-03-15 00:00:00,5.36,2.96,18.6,0.61
30,1990-03-16 00:00:00,5.44,2.99,18.88,0.62
31,1990-03-19 00:00:00,5.53,3.03,18.95,0.64
32,1990-03-20 00:00:00,5.46,3.01,18.78,0.62
33,1990-03-21 00:00:00,5.41,3.0,18.65,0.62
34,1990-03-22 00:00:00,5.34,2.96,18.52,0.61
35,1990-03-23 00:00:00,5.33,2.98,18.25,0.6
36,1990-03-26 00:00:00,5.32,2.99,18.1,0.61
37,1990-03-27 00:00:00,5.35,3.03,18.17,0.61
38,1990-03-28 00:00:00,5.41,3.03,18.41,0.61
39,1990-03-29 00:00:00,5.36,3.02,18.43,0.6
40,1990-03-30 00:00:00,5.26,3.01,18.45,0.6
41,1990-04-02 00:00:00,5.18,2.99,18.41,0.61
42,1990-04-03 00:00:00,5.17,3.04,18.54,0.63
