,State,Downs,FGMade,FGMiss,FUM,INT,PUNT,SAF,TD,Frequency,E[Plays Remaining],Markov EP,Recursive EP,Regressive EP,Down,DTG,Ydline
0,1-1-1,0.0155,0.0717,0.0027,0.0222,0.0135,0.0002,0.0,0.8742,1504.0,1.95,6.32,6.22,6.24,1.0,1.0,1.0
1,1-10-10,0.0299,0.3318,0.0265,0.0265,0.0409,0.0025,0.0,0.5419,4326.0,3.5,4.78,4.57,4.69,1.0,10.0,10.0
2,1-10-14,0.0287,0.3307,0.0379,0.0311,0.0489,0.0038,0.0,0.5189,4293.0,3.92,4.61,4.37,4.45,1.0,10.0,14.0
3,1-10-18,0.0299,0.3504,0.0542,0.0345,0.0505,0.0082,0.0,0.4722,4822.0,4.3,4.35,4.07,4.2,1.0,10.0,18.0
4,1-10-22,0.0314,0.3537,0.0655,0.0404,0.0554,0.0179,0.0,0.4357,5235.0,4.61,4.1,3.78,3.95,1.0,10.0,22.0
5,1-10-26,0.0355,0.3419,0.0779,0.0417,0.0591,0.035,0.0,0.4088,5565.0,4.9,3.88,3.51,3.71,1.0,10.0,26.0
6,1-10-30,0.0429,0.3106,0.0781,0.046,0.0675,0.0678,0.0,0.3871,5791.0,5.16,3.63,3.2,3.46,1.0,10.0,30.0
7,1-10-34,0.0481,0.279,0.0705,0.0488,0.0726,0.1149,0.0,0.366,6397.0,5.43,3.39,2.9,3.21,1.0,10.0,34.0
8,1-10-38,0.0518,0.2466,0.0582,0.0514,0.077,0.1724,0.0,0.3424,6858.0,5.68,3.13,2.57,2.97,1.0,10.0,38.0
9,1-10-42,0.0497,0.2211,0.0496,0.052,0.0781,0.2303,0.0,0.3193,7392.0,5.93,2.89,2.29,2.72,1.0,10.0,42.0
10,1-10-46,0.0446,0.2034,0.0458,0.0564,0.0808,0.2753,0.0,0.2936,7936.0,6.12,2.66,2.01,2.48,1.0,10.0,46.0
11,1-10-50,0.0419,0.1851,0.0418,0.0568,0.0834,0.3173,0.0,0.2737,8217.0,6.27,2.47,1.77,2.23,1.0,10.0,50.0
12,1-10-54,0.0398,0.1688,0.0377,0.0613,0.0862,0.3537,0.0,0.2524,8987.0,6.38,2.27,1.53,1.98,1.0,10.0,54.0
13,1-10-58,0.0371,0.155,0.0345,0.0613,0.0873,0.3905,0.0,0.2342,9914.0,6.55,2.1,1.33,1.74,1.0,10.0,58.0
14,1-10-6,0.0294,0.3282,0.0213,0.0299,0.0443,0.0021,0.0,0.5448,824.0,3.22,4.79,4.58,4.86,1.0,10.0,6.0
15,1-10-62,0.0347,0.143,0.0317,0.062,0.0853,0.4233,0.0001,0.2197,10481.0,6.69,1.96,1.17,1.49,1.0,10.0,62.0
16,1-10-66,0.0323,0.1301,0.0289,0.0628,0.088,0.4549,0.0002,0.2027,11568.0,6.78,1.8,0.98,1.24,1.0,10.0,66.0
17,1-10-70,0.0296,0.1191,0.0263,0.065,0.0915,0.4795,0.0003,0.1886,9672.0,6.86,1.67,0.82,1.0,1.0,10.0,70.0
18,1-10-74,0.0275,0.1093,0.0242,0.0643,0.0902,0.5083,0.0004,0.1759,8781.0,6.99,1.55,0.68,0.75,1.0,10.0,74.0
19,1-10-78,0.0256,0.1012,0.0223,0.064,0.0925,0.5302,0.0005,0.1636,13729.0,7.04,1.44,0.55,0.5,1.0,10.0,78.0
20,1-10-82,0.0233,0.0905,0.02,0.064,0.0925,0.5571,0.0017,0.1509,4810.0,7.07,1.32,0.41,0.26,1.0,10.0,82.0
21,1-10-86,0.0212,0.0831,0.0182,0.0667,0.0886,0.5751,0.005,0.1417,3710.0,7.17,1.23,0.3,0.01,1.0,10.0,86.0
22,1-10-90,0.0189,0.0761,0.0167,0.0699,0.0878,0.5864,0.0135,0.1305,2366.0,7.18,1.11,0.18,-0.23,1.0,10.0,90.0
23,1-10-94,0.017,0.0656,0.0144,0.0616,0.0792,0.6119,0.0325,0.1178,1632.0,7.09,0.95,0.03,-0.48,1.0,10.0,94.0
24,1-10-99,0.0148,0.0567,0.0126,0.0634,0.0904,0.5791,0.0758,0.1072,422.0,6.67,0.77,-0.14,-0.79,1.0,10.0,99.0
25,1-11-10,0.0294,0.3768,0.0299,0.0204,0.0401,0.0028,0.0,0.5006,137.0,3.41,4.62,4.43,4.62,1.0,11.0,10.0
26,1-11-14,0.0281,0.3618,0.035,0.0471,0.0489,0.0044,0.0,0.4747,111.0,3.42,4.4,4.13,4.38,1.0,11.0,14.0
27,1-11-18,0.0316,0.3842,0.0563,0.0265,0.0487,0.0099,0.0,0.4427,101.0,3.98,4.24,3.98,4.13,1.0,11.0,18.0
28,1-11-22,0.0321,0.3787,0.0706,0.049,0.0559,0.0215,0.0,0.3922,110.0,4.31,3.87,3.52,3.89,1.0,11.0,22.0
29,1-11-26,0.0306,0.351,0.0794,0.0434,0.0852,0.0328,0.0,0.3776,99.0,4.36,3.69,3.27,3.64,1.0,11.0,26.0
30,1-11-30,0.0384,0.3549,0.0984,0.0372,0.0544,0.0704,0.0,0.3462,119.0,4.89,3.48,3.07,3.39,1.0,11.0,30.0
31,1-11-34,0.0427,0.2962,0.0828,0.0472,0.0808,0.1278,0.0,0.3225,117.0,5.01,3.14,2.61,3.15,1.0,11.0,34.0
32,1-11-38,0.0494,0.266,0.0716,0.0396,0.0835,0.1779,0.0,0.312,134.0,5.32,2.98,2.41,2.9,1.0,11.0,38.0
33,1-11-42,0.0503,0.2199,0.0548,0.0406,0.096,0.2378,0.0,0.3005,178.0,5.45,2.76,2.13,2.65,1.0,11.0,42.0
34,1-11-46,0.0492,0.1883,0.0432,0.0531,0.078,0.319,0.0,0.2692,161.0,5.81,2.44,1.76,2.41,1.0,11.0,46.0
35,1-11-50,0.0422,0.1698,0.0386,0.0656,0.0868,0.3506,0.0,0.2464,171.0,5.8,2.23,1.48,2.16,1.0,11.0,50.0
36,1-11-54,0.0398,0.1616,0.0368,0.0508,0.0772,0.4009,0.0,0.233,188.0,6.1,2.11,1.37,1.92,1.0,11.0,54.0
37,1-11-58,0.0359,0.1398,0.0311,0.0511,0.0851,0.4373,0.0,0.2195,205.0,6.05,1.95,1.17,1.67,1.0,11.0,58.0
38,1-11-62,0.0333,0.1294,0.0292,0.0672,0.0935,0.4511,0.0001,0.1962,215.0,6.13,1.76,0.92,1.42,1.0,11.0,62.0
