,Utterance,Response
486,no panty up at tonight 🇵🇷👊🏾,that song is 🔥🔥🔥🔥
3230,these joints are so 🔥,"so flee, remind me of these laser af 1 but way cleaner"
3452,happy birthday gabby ❣🔥🔥🔥,thank you !!!!💙💙
4268,yo it's true,your article voiced all the feelings i had when new archie launched! fiona staples why you draw archie so 🔥
4814,burn it 🔥🔥🔥🔥🔥,nah bruh he's my exterminator. 🕷🕷🕷🕷
6632,streaming now,thursday episode was 🔥🔥🔥🔥
6758,"🆘‼️😠🔥 an old and homeless man to beat, what a hero. i hope he gets a practical karma.",i wish i could have been there to pound the crap out of that thug.
8440,"great quote on why we did : ""it isn't cannibalizing, it's additive.""",the team crushed it 🔥
8662,i understand people are super sleepy on the movement. but we are still your friends,shit is 🔥 goodshit fam
10112,hyped about the one with you not on the cover 🔥🔥🔥,lmaoooo that bitch has me blocked
11186,"hey kunstpoligrafo, you may want to check for latest updates on 🔥_",i'll check it. thanks
12060,still heating up miami 🔥😋💗💋,"you enter a room i'm in like that, i may need revival. you carry smelling salts, right?"
13552,listening to kelela - the high (dj j heat jersey club remix) by on,"bruh, shit is too 🔥🔥🔥"
14048,lic is gonna be lit tonight🔥🔥,im hoping i seeyou there omg i might cry
14080,lic is gonna be lit tonight🔥🔥,i'm literally getting teary eyed bc i miss you
14238,"ashleigh banfield on cnn is completely fed up with trump's ""birther crap"" 🔥🔥",how about rest of trump's crap?!!!
14488,our album is gonna be 🔥🔥🔥🔥,release date coming soon
14632,our lock screens match,ayye!! that's lit!🔥
14792,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",no it did not start with them.
14870,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",her supports idiot not her so stfu
15040,"dwad tour is one of my all time favorites, this shit is lit 🔥","it's near perfection tbh. i've seen it approx. 1,000,000 times."
15222,"ashleigh banfield on cnn is completely fed up with trump's ""birther crap"" 🔥🔥",fed up much? now you know how we feel about coverage the past months!
15640,"(i am not given to wanton scripture-tweeting, as you know, but man, proverbs is 🔥🔥🔥🔥)","i particularly like verse 8, where the person who honors a fool thunks themselves in the head with a rock"
16434,this about to be a hit 🔥,what's this called?
17108,maybe back a bowl and head to cracker barrell... i need some pancakes! 🔥😇🍦,"in the parking lot, though"
17166,"sunburns for apple. 🔥📱 for the record, i wanted to leave.",i presume they didn’t have any jet black.
17882,i've been waiting all week to go home cus lola bouta make me some fire ass blueberries pancakes with kodiak cakes mix 🔥🔥🔥,lola hook it up
18048,you guys are having all the fun.,no. it’s just leanna. she is always in the right place. 😭🔥
19536,writing fire was all and headline fire i believe goes to,kudos to you all for the 🔥
19584,level up x official flacko 🔥‼️ who ready? 🔊🔊,the cover idea hard af !
21140,new music friday new nghtmre x zeds dead new will clarke 🔥🔥🔥,nghtmre and zed's dead. excite.
21358,. last yr at uni was so discouraging.considered dropping out.folks like you give me strength!,"seconded! last two years at liu were tough. felt alone a lot, like nobody gaf. i ❤️ the new 🔥!"
21476,"seconded! last two years at liu were tough. felt alone a lot, like nobody gaf. i ❤️ the new 🔥!","at the end of the day, uniting and working together makes success so much easier to achieve"
22418,"ok tweet your hottest simpsons take. none of that two alarm shit, let's see some 🔥","golden age simpsons (s2-s10ish) was great, but ultimately wasn't worth enabling the rise of seth macfarlane"
22672,the one thing i can always count on is waking up to a snapchat from 🙏,always &amp; 5ever 🔥
22894,hey ariel of the atlantic 👸🏾,i told you to stop slaying me while i'm at work. this color looks really good on you!! i live!! 🔥🔥
23276,🔥 for the wknd,() listening now
24616,just discovered . will definitely be checking out their events once i move to the bay area 🙌🏿🔥,come through to our party tomorrow! nba 2k launch party ....
24854,"fam, this is 🔥🚮🔥🚮🔥🚮",nah. it makes me want to car dance. that makes it a banger.
24900,"🔥🚨hillary birther🚨🔥 america's memory is so bad, they forget the 2007-08 clinton camp actually started",please send to jenna lee on fox
25754,that's the most perfect reaction gif,naomi's judgement is 🔥🔥🔥🔥.
