,Utterance,Response
38,"you think so ? a lot girls been fucking with it just not the right ones lmfao, but i'm thinking its time for the new cut 😂",idk how females fuck with this 😂
44,"4-0. i don't remember you ever winning. &amp; i took this one. you didn't ""let"" nothing. 😂",😭😭😭 i thought you was gonna let me slide
52,"you think so ? a lot girls been fucking with it just not the right ones lmfao, but i'm thinking its time for the new cut 😂",gotta get that brad pitt from fury
184,guess youre gon have to bite me hahaha,"&lt;-- she volunteered so... yeah. haha. go for it, krys. no turning back now 😂"
216,no you deadass said i'm getting a crouton for my room and i said tf a crouton? and you said you don't know what a crouton is?!,this is funny af 😂
262,the choke wasn't hard enough,"bitch duh i love it rough, damn near cut my circulation off for half a second💯😂😂😂"
442,heck no! i have a free one coming my brutha,can't blame me for trying! 😂😂
620,"hillary clinton says ""let's make it happen"" when told ""hillary for prison!"" 😂😁😂",she'll do or say anything for a vote
672,oh look at you...😁😁😁 ok...sounds good. but the toss needs to be good or they'll need to take sips.,agree now when can we play this 😂😂😂
742,"exactly, not even financially stable but using your whole day to search for a relationship",lol females in this day in age man 😂😂
844,you forgot both seth and roman stand tall and the shield fists come together again lmao,i was half right 😂
860,the most annoying thing about c++ might be how grossly it violates my expectation that header files don’t contain code.,the cody mchubris types love to have it all in the header wrapped up with a nice template-y bow 😂
900,"ladies and gents, i present to you dsv's other twitter handle . she is in rare form.",omg media mogul disguised as mild-mannered country reporter 😂
968,fuck you netflix i've been down for you since you delivered dvds in envelopes,lmfao u feel me!!!!!!! i thought i was the last person who remembered that 😭😂
1232,i'd be that guy with the beer 😂,you guys i would die. i can barely drink one lmao
1374,i have no words for that video....holy fucking shit,u prob do it faster 😂
1464,learn something new everyday lol,all girls do it lmao send the nudes to they girls first too get approval 😂
1498,lmfao i knew this was gonna come up again 😂😂😂😂,i wish you never said it!!! you have ruined that image for me! lmao
1520,"""personal foul after the play, number 22... head slap, automatic first down""","fucking ""head slap"" was the call 😂"
1576,doug pederson's hair 😂,i'm just glad we have a coach who wears a visor
1644,ty u a real one,yee anytime!🙏🏽 😂😂
1708,": ""do you look through your eye?"" 🙄🙄🙄 no i look thru my ears",i didn't even notice i said that 😂
1842,ain't clitoris that big ass red dog,this is why you said that? 😂😂
1898,tell him go home 😂,lol he got up outta there real quick lol
1914,lmao wow this mtv host just asked two asian dudes if they were twins... they were not. smh lol,mtv should let you host a show about cat videos and you rate them on a scale of least likely to eat to most likely to eat 🙀🙃🙃😂
1932,mtv should let you host a show about cat videos and you rate them on a scale of least likely to eat to most likely to eat 🙀🙃🙃😂,i just gave you your next foodie friday video
1934,filled up the ciroc bottle with water and it was funny,"""wtf this shit taste like water"" 😂"
1996,so someone sent me this pick and i was like oh well fuck now i have some gym motivation while i'm here 😂,you know while i do encourage exercise for good health...it's kind of upsetting that someone would photoshop you at all.
2080,"from 9:13-9:22 of this video, that looks like something that would do. 😀😀😂😂😂😂","lol. shut up, bitch or i'll clothesline you &amp; make you do so many backflips you'll win an olympic gold medal."
2108,"sjw triggered by student for wearing ""unsafe"" hat! 😂😂",this will make a victory even sweeter!
2408,the brave little toaster •most of yallwont remember this •this movie is good af •that junkyard songwas fucked up😂,i was tryna tell y'all
2436,same bloggers telling you they don't post any music thats already released then all post the new justice for clicks - i see you,"i love how every time justice or daft punk release something the response is always ""french house is back"" 😂😂😂"
2572,all liberals along with their socialist soul mates,ok member..whatever makes youfeel goodaboutyourmiserablesoul. climb backinthebasket😂😂😂
2606,you have elephant footies?? where did you get them???,walmart last year😂
3002,after your corn onslaught i now love corn and want to grow and eat corn.,that's really corny 😂😂😂
3086,no more rice looking mf 😂,did u know 80% of chinese or japanese phones been water proof smh but iphone been holding back lmfao they got us programmed 😭
3122,oh my god please i've been wanting it for weeks but can't bake to save my life 😂,"definitely! it's just about that time of year so once i get some fresh apples, i'll be getting to it 😋"
3332,up and at it again with the 2 young thundercats jayquan and greg cali.,are you working out along side them?? 😂😂
3384,"ummm i just checked and idk wtf y'all are talking about, u can't search ""butt"" or anything inappropriate","that pony for real though has some serious ""fuck me"" eyes 😭😂😂"
3548,already w this bs?,"word wtf am i writing, henny bottle on you? 😂"
3786,dick riding champ,"this wasn't about me btw you weirdos, it was a post on tumblr about squats 😂😂"
4016,girl nobody got any dick i just couldn't sleep 🙄😂,couldn't sleep with all that dick up in youuuuuu lmao. jk lol
4048,if u know esha as well as i do and the fact that her bday on april 1... it's just the most greatest thing 😂😂😂,okkkkaaaaay creeping ass
4052,check out my spread in this months,awesome! have you seen gucci is up to the case too? 😂
4080,how are you getting along with guitar😂,lol not good haha. i've been so busy that i haven't played in a while
4088,dwalls attacked a 4 year old???? knew there was some screws loose,i feel bad we couldn't let him play his last stickball game 😅😂
4402,"what's the move tonight angel face? mi jus reach ah foreign (ny, bx) 😂",i have to work late today 😭
4504,really ? a person who refuses press conferences and won't answer tough questions demanding answers ? 😂😂😂😂😂😂😂,"she's not targeting you.your responses to what is an outrageous statement,will be deleted out of the feed."
4524,really ? a person who refuses press conferences and won't answer tough questions demanding answers ? 😂😂😂😂😂😂😂,her followers won't question it *because they want to believe in a particular narrative*.she's using that
4534,really ? a person who refuses press conferences and won't answer tough questions demanding answers ? 😂😂😂😂😂😂😂,its an extremely powerful tactic
4670,"you still got like 2 weeks. i still hope i win meet and greet tickets with rihanna, then you can have my regular one. 😂","i'd love to see a pic of you kissing her on the cheek. you know she'd be like, ""sure, let's do this!"""
4822,hahahahaha wahhhhh! i miss bk and our office nights! with hummus and carrots hahahaah,"long runnnns, trader joes, and bare burger. i only miss two out of three of those 😶😂"
