,Utterance,Response
486,no panty up at tonight 🇵🇷👊🏾,that song is 🔥🔥🔥🔥
3230,these joints are so 🔥,"so flee, remind me of these laser af 1 but way cleaner"
3452,happy birthday gabby ❣🔥🔥🔥,thank you !!!!💙💙
4268,yo it's true,your article voiced all the feelings i had when new archie launched! fiona staples why you draw archie so 🔥
4814,burn it 🔥🔥🔥🔥🔥,nah bruh he's my exterminator. 🕷🕷🕷🕷
6632,streaming now,thursday episode was 🔥🔥🔥🔥
8440,"great quote on why we did : ""it isn't cannibalizing, it's additive.""",the team crushed it 🔥
10112,hyped about the one with you not on the cover 🔥🔥🔥,lmaoooo that bitch has me blocked
13552,listening to kelela - the high (dj j heat jersey club remix) by on,"bruh, shit is too 🔥🔥🔥"
14048,lic is gonna be lit tonight🔥🔥,im hoping i seeyou there omg i might cry
14080,lic is gonna be lit tonight🔥🔥,i'm literally getting teary eyed bc i miss you
14238,"ashleigh banfield on cnn is completely fed up with trump's ""birther crap"" 🔥🔥",how about rest of trump's crap?!!!
14488,our album is gonna be 🔥🔥🔥🔥,release date coming soon
14632,our lock screens match,ayye!! that's lit!🔥
15040,"dwad tour is one of my all time favorites, this shit is lit 🔥","it's near perfection tbh. i've seen it approx. 1,000,000 times."
15222,"ashleigh banfield on cnn is completely fed up with trump's ""birther crap"" 🔥🔥",fed up much? now you know how we feel about coverage the past months!
16434,this about to be a hit 🔥,what's this called?
17882,i've been waiting all week to go home cus lola bouta make me some fire ass blueberries pancakes with kodiak cakes mix 🔥🔥🔥,lola hook it up
18048,you guys are having all the fun.,no. it’s just leanna. she is always in the right place. 😭🔥
19536,writing fire was all and headline fire i believe goes to,kudos to you all for the 🔥
21140,new music friday new nghtmre x zeds dead new will clarke 🔥🔥🔥,nghtmre and zed's dead. excite.
22418,"ok tweet your hottest simpsons take. none of that two alarm shit, let's see some 🔥","golden age simpsons (s2-s10ish) was great, but ultimately wasn't worth enabling the rise of seth macfarlane"
22672,the one thing i can always count on is waking up to a snapchat from 🙏,always &amp; 5ever 🔥
22894,hey ariel of the atlantic 👸🏾,i told you to stop slaying me while i'm at work. this color looks really good on you!! i live!! 🔥🔥
24616,just discovered . will definitely be checking out their events once i move to the bay area 🙌🏿🔥,come through to our party tomorrow! nba 2k launch party ....
26570,so proud of this album is 🔥🔥🔥,"love you baby, your energy gives me life in all the right places 💋❤️"
26866,sho?? cashews are life,it's all about the seasoned almonds 🔥🔥🔥
28130,"everyone when you lit tonight make sure to save nelly, don't worry those tracks still bump",country grammar and hot in here🔥🔥🔥
30386,*thinking face emoji*,🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🚮🚮🔥🔥🔥
32154,santa cruz tomorrow 🔥 🔥 🔥 🔥,no more tickets?😥
33772,dead ass bro! he called french and told em,then it's time for a free max b remix 💯🔥
34748,is ok! liz and i want to go sometime before our mexico trip so ya we'll see each other soon!!,omg that would be super cool. y'all can stay in my house. it's gonna be lit 🔥
37212,i fcks w/ thug but i don't like that harambe song 😫,that shit is 🔥🔥🔥🔥
38302,there won't be a stream today 😱. i'm gonna try and get some rest and recover from this crazy month on ! love you all 🔥🔥,unacceptable.
40076,them triple black ultraboosts are 🔥🔥🔥🔥,all they nmd's and ultraboost are fire 🔥🔥
40814,just fucking puked everywhere 🔥🔥,mother fucking kane
41644,they should let us program a show someday.,i wish i had the money to have a film marathon. the line up would be 🔥🔥🔥🔥🔥
43774,bonfire tonight 🔥,😭 i love bonfires
44644,heard his album today🔥🔥,i hopped on the band wagon since i've heard it lol
45380,"ashleigh banfield on cnn is completely fed up with trump's ""birther crap"" 🔥🔥",he admitted it filth
49446,kevin durant throwing out the first pitch at the san francisco giants game!⚾️🔥,but he left at the first inning
49508,right now🔥🔥🔥,you guys were great!
49614,yo that meek mill diss track slaps,fr bruh he goes hard 🔥
50126,mood: tequilas 👸🏻👸🏼👸🏼,damn that spot is so 🔥
51682,look at your cute ass😍😍🔥🔥,look at yours 😍😘💖
