,Utterance,Response
1916,give him some water 😭,😂😂😂😂 we should've gave him some. he would've been out of the race
2174,😂😂😂😂 i9milha boogie,iphone 7 w nba 2k17 oula full o*****m 😂
2348,dad: u want me to pay for this?! me: ya...sorry dad: well thats okay guys i got a wallet that says shit ton of money,😂i love it!!!
2478,not another soul!,😂😂😂😂 u always do that
2498,happy birthday dude!!!,😂😂😂thanks jflo
4656,way ahead of you,"😂😂😂👏🏽👏🏽👏🏽 so jealous, what timing!"
5062,😂😂 i feel like i'd end up with someone idc about tho...like demi or taylor or someone like that,right ! lmfaoo then i be really mad
6668,😂 i can't wait for them to come back,i know honestly that was my fav part
7052,pic of who fam? you diabolical lmao,😂😭😭😭 of you bro that shit i was gonna sell it to but i ain't gonna sell my bro out for cash lmfao
7166,the only fantasy here is that you guys think that will say no to 3/4 billion,😂😂😂😂 will see sucka when jan comes don't be mad
7362,dude i was so wasted i didn't even sleep! why are u awake so early !?,😂 i always wake up early after. you a sav i fell asleep around 3 haha
7666,thats what happens when he takes the little blue pill...lol,😂😂no longer a fiat
7762,i really thought you were better than this.,😂 they don't do it for me.
8520,😂 so what you trying to say about me now? 👊🏽,"lol. i had a different feeling looking at him. cus it's u, but it isnt. lol. not in the way i know u. u now would be incest lol"
8772,where is there a skating rink? i need to learn so i can look cool and go to the big one in sf in december 🤔,😂😂😂😂😂. in livermore they have one
9762,"😂😂 give it time, in a year niggas gonna look back and say that was actually fire",lmfaooooooo
9770,"😂😂 give it time, in a year niggas gonna look back and say that was actually fire","""just wait on it"""
10002,😂gm gday all,my brother waz up hey all
10018,may i add that u vaped last night?,😂😂 was with someone who was vaping
10682,that's a altinator for a car,"😂😂😂 well i don't have a car, so guess i'll get the 7 instead."
11178,😂😂!! are you calling me a kid? i will take it!!! 😘,it was a compliment
11520,"😂 you think tristan thompson, kyle lowry, paul milsap are all better than melo? what sport you watching",klay thompson not tristan
12052,i think grubman is coming to tell oakland it's now or never. city has had years and years to assemble a plan. nada.,😂😂😂😂 you're a fool if you believe that
12514,"donald trump: ""president barack obama was born in the united states. period.""",😂😂thank you dt i just won a $100 bet that you would say hillary did it
12626,👁 do n still think its for men to see,😂 i mean it's for everybody to see honestly *flips hair*
12788,why? cause you are so limited you can't keep up? can only manage 1? sucks to be you! i got 250!,😂 child please
14404,😂😂😂😀😂 ohhh god!! this is awesome,he forgot to add the third line :p
14420,that's a horror film lol,😂😂your on your game today must be sober 😳😳
14808,i peeped. hope he gets to it. i need to learn this before the day end lol,😂😂😂 hopefully he responds
17174,😂 i agree - brooklyn! just figured out that's the same night as hill's last show though so i can't gooo 😩,i can though! i'll let you know how it was! 😂😂😂
17498,😂😂😂 church appropriate maxi dresses...plus i'm skinty. nothing to see here 😂,maxi dresses are always worth lurking for *heads to ig*
18046,😂send the videos to mee😭. ive been trying to vist all summer yo.,check my snap lmao she look crazy... and ugh this christmas we all need to reuinte😭💔
18820,😂😂😂😂😂 thass deep. i can't beat up the special kid i'll go straight to hell lmao,find his bro and beat his ass then 😂😂😂😂😂 somebody gotta pay for the whites
18850,😂😂😂😂😂 had to give it a listen. 2 good songs on there.,j.cole &amp; mac miller literally put me to sleep with their albums.
18998,lmao same damn nigga told me he was gone send me a hoodie years ago,😂😂 can i get a hoodie bro ?? it gets cold up here
20464,😂 wyd in campbell if you pass by palo alto hit me,work work work bachem i'm in los gatos
20578,for reals. i'd rather watch paint dry,😂😂 hell yeah!
22242,😂😂😂 i swear. when you get famous i can say we sang together 😅,"lmao. jude, who is this gentleman please? he's brought me alot of joy this afternoon."
22926,😂😂don't let the title fool you but you can have a $1 girl,lmaoo i saw surgical and coordinator and all i saw was 💰
23124,😂 busy show today,"i was gonna hit him with ""don't be an insulting jerk"""
23132,😂 busy show today,he hung right up the second i finished
23464,statistically yes!,😂that many still! really?
23828,o sh*t for a second i thought this was somebody doing cosplay. but no y'all it's just .,😂😂😂😂 that's just what we need: jamie to go all madrox and have clones! evil beware!😂
24002,😂 what if i did,then we'd be brothers for life
25708,😂😂 yep that sounds about right! watch out for all the crazies,not met a lot of them yet thankfully 🙏🏻 what do you suggest to do whilst here? or somewhere nice to eat/drink? x
26524,well i guess one could say the game just went outta pocket !!!!!! 💀,😂😂😂 he bout that action doe
26802,jumped off my bed in excitement and hit my head really hard on the fan.,😂😂😂😭😭😭😭 this has me dying
27166,he's from philly,😂😂😂 philly men are sensitive ?
27300,"we're here to help if something went off track, jarred!! hit us up in the dm so we can work our magic!! *nikosp",😂😂😂😂😂😂😂😂 naa chill tmobile yall doing aiight right now give me some free data im running lowwwww
27542,😂😂😂 let me waddle down there 😂,you still look like a peanut 💀😂😍😍
28590,what's that shit look when a boys real fat but dresses like he's skinny,😂😂😂 everything's popping off payzod eye kull fosta
29814,"sf already has the bay area market &amp; nfl will simply televise ☠ games there, no biggie.",😂😂 really because when the raiders left la for oakland they didn't televise any games in la
30190,😂😂 people in these streets are saying good cooking and sex are good enough reasons to marry so was just suggesting,😂😂😂 can't trust people on these streets with such
32202,😂😂😂 why you messy!!,rah nigga* be at those qotr events i be at. she's a bum with nothing to do and doesn't deserve a birthday.
33394,i like how they tricked you into thinking maybe just maybe you got those new wireless headphones,😂😂😂 they fooled me too!
33664,😂skinheads against rice pudding you lefty spastic,"y, we made lots of nazis cry for sure"
34712,"😂 haven't seen that one yet, but yes coloring books filled with awkward adult humor and curse words. it's great.",sounds dope honestly lol
35790,😂 love it she said douche jr. 🤘🏻,got to call it like i see it
36066,"if i pick a character on stranger things i'm 25, but if i say i've never seen it i'm 50. 😒","😂😂😂 ok, i'll take it"
36556,what is with you and these apple store power moves?,"😂 no idea but i was just about to give up when they overheard me and i was like ""wait, what?!"" apple angels really."
36632,i do recall her getting a dub with the western all-stars lmao,😂😂 damn b you gave her too much power
37804,😂😂😂😂😂😂😂😂😂😂 just keeps getting better 😂😂😂😂😂😂😂😂😂😂,blumenthal is a gutless puke who is lower than whale droppings &amp; you know how low that is. he is a very ruthless man
38286,it's just so funny how y'all wanna take credit for 109% of history yet ya uncle out here beggin u to love him in public &amp; u don't claim him,😂😂😂i have nothing left😂😂😂
38930,"a good teacher is the key, he wants to be a pilot/policeman/ paleontologist and play tennis like rafa, dream big baby, dream big😊","😂😂😂 wow, big dreams indeed. that's so amazing, how old is he?"
39262,how ima dance for u on ur bday,😂😩 omg can't wait
42300,terrified of anyone who doesn't look and act like them.,😂😂 it's the other way around! really it is !
42688,"😂 damn, that must be one hell of a vibrator!!! swearing off the d because of it. you should do a commercial for it. 😉",its the rolls royce of vibrators
43566,"😂😂😂 well at least i was being honest. ""now you know who really the queen, deliver the mail."" 😂😂😂","""you could guess who it is, mary j blige i'm boutta handle my biz"""
45668,😂 this is great. i kinda want one.,check the website! perfect apparell for the modern ducks fan.
46402,"😂😂😂kidnap scene on wow😍😍 n namik saying ""hair has to be on point bro even whn yu ar kidnapped""😂😂😂🙌🙌🙌",this is such a cute video⭐️⭐️ thanks for sharing ronit
47164,😂😂what about the bedroom. it could be like you having a threeso....nvm,why we let y'all niggas on the internet? lol
47842,😂😂😭😂😭😂😭😭 stfu i hate movie theaters,lmao that movie was lit to the max
48060,"ah yes, the annual pre-emerald ball mad dash to get my car clean.",😂😂😂 hold up. when is the ball??
48642,lmfaooo tongue looks long as hell 😭,😂😂😂😂 it's not that long in really life i swear
48744,i literally knew you'd be the first to like this lmao,😂😂😂 bc i'll never forget how you ate your spaghetti with ketchup!!
50206,dude you have no chance in beating me,😂😂😂 you're a waste of a game
52748,😂😂😂😂😂 all this man does is take,that's all he does...
53002,happy birthday brotha!!!!!,😂😂😂😂😂 i love this
53110,dude fucking same i have tubs and tubs of my dads pictures &amp; wait. wym?? i am your person???,"😂😂 my other person my nick person. it's his sisters birthday tomorrow and so we're all going out, which means early day 😂"
53640,wanna come watch netflix with me bc 24 said there's not enough weights there for me,😂😂😂ts true story
55524,lmfao! they tried to herb you,😂😂😂 thats why i ain't buy shit
56152,"😂😂 i'm telling you, me in a bikini with a holster &amp; gun on my hip. don't mess with a .",where is the photo?
56572,"a hot coffee in 1 hand, an iced latte in the other hand. today is going to be a long day. never drinking again",😂😂😂😂😂😂 i knew this tweet was coming
58612,"this is exactly how willow thinks always food in bowl, but she will yowl like none","😂😂😂 it's got to be perfect, the refrain of all cats"
60172,that nose!👍🤗🐶☕️❤️💜,😂😂 the nose knows!
60642,😂 i wouldn’t have made it out the door.,acs would not be able to save me
60952,...need i say more?,😂 that shit was full blown hahaha
61304,no i mean which highlight,"😂😂😂 oh, abh glow kit in gleam"
61818,omg that picture 🙈🙈🙈🙈 but we missed you so much 😔😔,😂😂 i just love you so much. you don't miss me tn 😉😉
62086,"way more flavorful than mild bro, way.","😂 i mean, the sides or some jelly cool enough for me but we gone see"
63644,when does obama take resp for fueling claim by refusing to release birth certificate for months?,😂😂😂😂😂 did you fall out of the basket and hit you head really hard when you formulated this question?
64416,something special bout poly girls n tita buns. nothing else quite like it..and now the world will know 🌊🙌🏾,😂😂i noticed that bun too in the trailer lol
64696,😂😂😂😳 lmao! you are too much matthew!,"maybe i'm not doing enough, queen. 💞"
64788,change that june9th ya bday been passed,😂😂😂 weak!! i forgot it was there🙄🙄 dont come for me
65910,isabelle! haha my mom ran into her and alex yesterday,😂 maybe i should wear a sign next time to make it just a little bit more obvious
67134,because the death and failure of our enemies overshadows heartbreak and we're okay with that,😂😂😂 fk...i shouldn't have started
67524,just take a 10 hour break 😏,😂😂 i wish! drink for me
68396,😂 there's a node module that lets you write `console = require('global/console')`. dl'ed 20k times/day. the code:,"there is module fs on npm, which is dump of 0.10 builtin fs module. :) 8k/day"
70178,facial hair is growing on me 😍,😂😂😂 like i'm starting to like it. i'm not physically growing facial hair 😂😂😂😂😂😂
70318,😂 i'm going to start using as an insult to unscrupulous people lol and i'll call people who lie 👍🏼,"thats funny! every time i catch my husband fibbing to me i say ""ok hillary"" and he gets so pissed off."
70474,"😂 all of it, but especially the dog at the end (via )",i like the money tossing 😛
