,Utterance,Response
5846,"haha, i'll make sure to give thursday its due.",👍🏻👍🏻🎙🎙🎙📻 the boys seem to have their energy but you never know when their bodies might remember how little sleep they got 💤💤
27792,👍👍right on!,cuban is such an ass wipe.
29824,sutro baths,👍🏼👍🏼thanks!
31172,"👍🏽 exposed! ""why isn't the msm here?!"" 💗 🇺🇸",msm has been covering up the hatian scandal for years now. it's disgusting.
36728,all radr4lf family invited anytime any day..,👍👍much love n respect to you fam
40340,"i'm not, but i go out there fairly frequently. we should chat before then, along w/ and",👍 hangouts or something next wed around lunch ish?
40832,"as a democrat, i am so sorry that clinton is our nominee. her rise to power is a disgrace to not only democrats but to all americans. shame.",👍🇺🇸so many dems upset
48212,👍🤗 i have actually seen it twice😁just because....... it,"you know i'm going to love it, right?! 2 peas...😂"
65852,canvass till your socks drop &amp; your shoes crackle😊,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼
66230,"seriously though, i really enjoyed ! great movie! i highly recommend it.",👍👍 from ms stairs truck herself.
73130,that's the watch i'd get! black link band too 👌🏻,👍🏼 i think my wrists are too small to get the link band?!
87432,👍🏻 👉🏻❤️ ❤️👈🏻,👍🏻 😈nikisky69💦
88002,"considering i have many muslim friends, we will all enjoy our intelligence level together.",👍🏼good job reposting and removing the trump supporter that proved your claim to be incorrect.
89724,take pictures... please....,👍👍 he was a cute one and a nice ass
106460,👍🏽-i think it was more of a peyton jinx than broncos.everyone tight cause they want him to win?!,"yes, i agree with that. that's why i'm anxious for this game and reverse the trend!"
106558,🇺🇸 repent be contrite with sincerity! american needs faith revival!🇺🇸,👍 gov. christie is excellent for campaign! keep him on air defending!! 👍👍👍
106628,👍 gov. christie is excellent for campaign! keep him on air defending!! 👍👍👍,👍👍👍gov.christie is excellent for campaign ! keep him on air defending!! 👍👍👍
108026,👍🏽 now the kids better head out 😂😂😂,"that's not an issue lol, we don't have any. except for the fur babies. and they hide when i'm watching 😂"
122562,"👍🏽 i need to try but a colleague was saying that even when using rm, docker wasn't cleaning up after itself properly on disk? 🤔","it *does* clean up, but there are special cases e.g. w/ device mapper on a loop device, or when using a vm backed by a sparse file"
132234,will do. following.,"👍 she colorizes b&amp;w photos. amazing collection. haunting. im partial to her work, but all is fantastic"
143448,👍👍👍gov.christie is excellent for campaign ! keep him on air defending!! 👍👍👍,the removal of armed bodyguards for hillary was stated so poorly it's a turn off to many!
157524,👍👍👍gov.christie is excellent for campaign ! keep him on air defending!! 👍👍👍,stay off twitter! dems distort your candid opinions! be more humble to win ! 🇺🇸
159608,that's ok...i was going along for the ride...yeehaw!!,👍🏼great responses.i do hope ppl start opening their eyes.we're actively targeted &amp;we only have each other-not the fed-to protect us
162432,"hehehe, thanks for laughing!","👍🏽 also, how are you up so early after a night of parties and interviews??"
165432,": gunman who fired at police was captured near home of the man being sought in connection with nyc bombings, officials confirmed.",👍 i wanna hear some sorry ass liberal talking bad about nypd
204868,👍👍👍 count me in!,bookmarking for future purchasing reference
214260,can't wait to listen. it's in my podcast queue!,👍🏻👍🏻caught it in my (almost) daily 10-1 😁😁pod window. 👀forward to sam amick w steph today.
223552,"we'll see what we get in wisconsin shortly, but battleground state polling recently--in nh, nc, fl and pa--looks decent for clinton",👍🏻🙏🏻✌🏻️🇺🇸 ohio?
231390,"good point. maybe it will be &lt;1 (or zero). yesterday cured cancer. joking aside, clearly an important in…",👍 that someone who can is trying something new. won't see order-of-magnitude changes by incrementing the old system.
234312,at least it wasn't trump...,👍 too true!! crazy bastard...
243800,... and it became wells fargo.,👍🏼 don't worry it wasn't wf - another big dog though
266706,👍🏽 yeh dude!,"thanks, mando!"
279522,". moms getting down to business, making calls for , our candidate!",👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼
280602,new podcast with ! we'll catch you up on the new fall shows and explain why i'm a c student:,👍🏻👍🏻👍🏻next in my pod queue
298554,👍 on which distro? trying now on rpi.,it was on amazon ami
311552,that's right 😊💯,👍👍👍. we need that rightnow.
328842,👍rt to millions around america to inspire and to,this has been blocked!!! resend!
341556,👍🇺🇸👍🇺🇸👍🇺🇸👍🇺🇸👍🇺🇸,wharton mba's who inherit millions are builders now? lmao. i guess if you put on a hard hat...
348124,👍🏻👍🏻 hello kasich and bush take note. 😂😂😂😂,"yeah. endorse the man who shit your family. principals be damned, he's a politician. he has no principals"
348144,👍🏻👍🏻 hello kasich and bush take note. 😂😂😂😂,"mike, if i call your family horrible names, can you endorse me for president?"
384986,unfortunate word choice in this headline (&amp; in text); seems to predict outcome will be a draw /,"👍🏽""big draw"" forces the correct parsing &amp; is much clearer"
388660,👍retweet👍 if you want sasha banks to reclaim her title at of champions.,cool o love it
398552,bout to check out this the exorcist show. 🤔,👍🏼 or 👎🏼 ???
413864,"👍🏽 to be fair, obama has done his share of killing of civilians.",that's both irrelevant and specious since obama never sent thousands of americans to die in a war for his own profit.
416388,👍thank you cait!!!👍,hope your feeling better soon. there's voyages waiting for you!
419654,👍 big don is as comfortable now as i've ever seen him and she appears to be unhinged,"she is afraid trump will trigger an ""episode""..."
421666,"👍 &amp; i implore you to attempt to view the situation from the pov of a non-frustrated, non-""protest"" 3rd party voter, too. cheers!","richard wright, native son james baldwin, go tell it on the mountain ralph ellison,invisible man amiri baraka, black magic poetry"
421698,"👍 &amp; i implore you to attempt to view the situation from the pov of a non-frustrated, non-""protest"" 3rd party voter, too. cheers!","sonia sanchez, does your house have lions the autobiography of malcolm x toni morrison, sula audre lorde, zami: a new spelling .."
421728,"👍 &amp; i implore you to attempt to view the situation from the pov of a non-frustrated, non-""protest"" 3rd party voter, too. cheers!","ntozake shange, for colored girls who .. john edgar wideman, brothers and keepers alice walker, possessing the secret of joy"
421888,"👍 &amp; i implore you to attempt to view the situation from the pov of a non-frustrated, non-""protest"" 3rd party voter, too. cheers!","if its not a protest vote than what is it? a philosophical stand? either way, it imperils us all."
431800,thanks i'll rt,👍🏻👍🏻 thanks!
433398,i know... that's why i'm glad you're practicing!,👍yes i am! don't want to look like 💩
492022,👍 how many bullets / sentences do you typically respond with? or totally depend on the candidate?,depends on how much bandwidth i have at a given time rather than the specific candidate
532558,real fans don't compare the amount of signings or photos between stana &amp; nathan or anyone else. it's just a reminder 😓,👍👍👍 and people can be fan of more than one person too!
536498,👍retweet if you want seth rollins to get his revenge on kevin owens and win the,yeah and have jericho banned from ringside!!!!!
561950,"you tried to me, an adult black woman, who my candidate should be! that equals bigot! get lost! and, um...",👍damn straight he won!
598946,he's a character from an innocuous web comic. artist is fine.,👍🏻. interesting attitude. i wonder if he'll still feel the same now w/this
604568,👍👍👍 their charting/reporting clearly visualizes value/effort/progress/work - goes well in presentations,if you have to explain da or trust flow or some other seo jargon every time you present your decks can't stand alone
622574,"no, please continue minding my business!! i just intend to surprise you with this one.",👍🏻👍🏻👍🏻👍🏻👍🏻v cool 🎤🎤🎤can't wait for pod
641192,u should try the 1502 coffee! loves it!,"👍if it's anything like the cigars, gotta be great!"
653618,"honestly, at this stage i just want spm to work with xcode so that i can sidestep my feels on this",👍 one package manager to rule them all
654866,we will have golf carts to assist any clubs who need help moving gear after the vehicle cut off time. just ask a kmc staffer.,"👍🏼 okay, that's actually very helpful. thanks!"
670908,👍 thanks! i want safari updates but it looks like sierra will break things i depend on right now,great excuse to do nothing for a few days 😜
674478,i also wanna share something exciting with u: my whatsapp new version's now supporting emoji scotland f…,👍🏻👍🏻 i was looking for the scottish flag emoji just the other day. great timing!
678516,when you realize tomorrow is friday,👍👍 best pic ever
689520,"very drama. much angst. so soap opera. (along the same lines as last season, but a few scary episodes too. pretty good.)",👍 i think i need to re watch 1-5
692304,👍 or 👎 on the ?,"hideous, you look like cheese doodles. go back to the 70s era uniforms. this is why you suck. you left tradition behind"
712188,"but be : know what data can and can’t tell you, or analytics are a hindrance.",👍🏽! it is about simplification and defragmentation of data. too much silo data about the workplace &amp; employees. meaningful data.
726052,"ah, i thought you were commenting on ""friends of homer and the computer."" yes, we have paper versions of the newsletter",👍🏼 so back to the original: are these digitized &amp; freely available somewhere?
729338,👍🏼 what caught your eye?,"want to try out the q and m9, figured i have some time to decide before i'm full funded 🤓"
743988,any steps are perfect on crap days 😏🙄😊,👍👍 i'm pleased i managed that much on an off day
